"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 10:50:10 GMT 2023","Sat Apr 15 10:50:22 GMT 2023","12080","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Sat Apr 15 10:50:23 GMT 2023","Sat Apr 15 10:50:36 GMT 2023","12585","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Sat Apr 15 10:50:51 GMT 2023","Sat Apr 15 10:51:03 GMT 2023","12010","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"failed","Sat Apr 15 10:49:43 GMT 2023","Sat Apr 15 10:49:51 GMT 2023","8395","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateImage","Translate from Image",""
"passed","Sat Apr 15 10:49:53 GMT 2023","Sat Apr 15 10:50:08 GMT 2023","14945","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateSite","Translate Site",""
"passed","Sat Apr 15 10:50:37 GMT 2023","Sat Apr 15 10:50:50 GMT 2023","12596","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Sat Apr 15 10:49:15 GMT 2023","Sat Apr 15 10:49:41 GMT 2023","25365","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testHandwrite","Translate handwritten text",""
