"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 11 01:16:41 GMT 2023","Tue Apr 11 01:16:50 GMT 2023","9109","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateImage","Translate from Image",""
"failed","Tue Apr 11 01:16:23 GMT 2023","Tue Apr 11 01:16:38 GMT 2023","15008","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testChegg","testChegg",""
"passed","Tue Apr 11 01:16:51 GMT 2023","Tue Apr 11 01:17:07 GMT 2023","15979","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateSite","Translate Site",""
"passed","Tue Apr 11 01:17:10 GMT 2023","Tue Apr 11 01:17:22 GMT 2023","12143","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Tue Apr 11 01:16:39 GMT 2023","Tue Apr 11 01:16:40 GMT 2023","37","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testName","Translate typed Text",""
"passed","Tue Apr 11 01:17:37 GMT 2023","Tue Apr 11 01:17:49 GMT 2023","11899","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Tue Apr 11 01:17:24 GMT 2023","Tue Apr 11 01:17:35 GMT 2023","11739","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Tue Apr 11 01:17:50 GMT 2023","Tue Apr 11 01:18:02 GMT 2023","12220","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
