"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 14:40:59 GMT 2023","Wed Apr 12 14:41:11 GMT 2023","11672","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"failed","Wed Apr 12 14:39:49 GMT 2023","Wed Apr 12 14:40:03 GMT 2023","13551","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testChegg","testChegg",""
"passed","Wed Apr 12 14:40:33 GMT 2023","Wed Apr 12 14:40:45 GMT 2023","11669","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Wed Apr 12 14:40:04 GMT 2023","Wed Apr 12 14:40:04 GMT 2023","12","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testName","Translate typed Text",""
"failed","Wed Apr 12 14:40:05 GMT 2023","Wed Apr 12 14:40:14 GMT 2023","8605","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateImage","Translate from Image",""
"passed","Wed Apr 12 14:41:12 GMT 2023","Wed Apr 12 14:41:24 GMT 2023","11626","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Wed Apr 12 14:40:46 GMT 2023","Wed Apr 12 14:40:58 GMT 2023","11523","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Wed Apr 12 14:40:15 GMT 2023","Wed Apr 12 14:40:31 GMT 2023","16000","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateSite","Translate Site",""
