"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 19:58:53 GMT 2023","Fri Apr 14 19:59:21 GMT 2023","28309","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testHandwrite","Translate handwritten text",""
"passed","Fri Apr 14 20:00:21 GMT 2023","Fri Apr 14 20:00:34 GMT 2023","13049","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Fri Apr 14 19:59:34 GMT 2023","Fri Apr 14 19:59:50 GMT 2023","15931","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateSite","Translate Site",""
"passed","Fri Apr 14 20:00:35 GMT 2023","Fri Apr 14 20:00:48 GMT 2023","13048","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Fri Apr 14 20:00:06 GMT 2023","Fri Apr 14 20:00:19 GMT 2023","12825","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Fri Apr 14 19:59:52 GMT 2023","Fri Apr 14 20:00:05 GMT 2023","12917","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"failed","Fri Apr 14 19:59:24 GMT 2023","Fri Apr 14 19:59:32 GMT 2023","8774","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateImage","Translate from Image",""
