"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 19:18:40 GMT 2023","Fri Apr 14 19:18:52 GMT 2023","12051","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Fri Apr 14 19:18:53 GMT 2023","Fri Apr 14 19:19:06 GMT 2023","12571","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Fri Apr 14 19:19:07 GMT 2023","Fri Apr 14 19:19:20 GMT 2023","12589","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"failed","Fri Apr 14 19:18:13 GMT 2023","Fri Apr 14 19:18:21 GMT 2023","8313","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateImage","Translate from Image",""
"passed","Fri Apr 14 19:19:21 GMT 2023","Fri Apr 14 19:19:33 GMT 2023","12127","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Fri Apr 14 19:17:45 GMT 2023","Fri Apr 14 19:18:11 GMT 2023","26072","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testHandwrite","Translate handwritten text",""
"passed","Fri Apr 14 19:18:23 GMT 2023","Fri Apr 14 19:18:38 GMT 2023","15572","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateSite","Translate Site",""
