"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 15:20:45 GMT 2023","Sat Apr 15 15:21:11 GMT 2023","25913","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testHandwrite","Translate handwritten text",""
"passed","Sat Apr 15 15:21:23 GMT 2023","Sat Apr 15 15:21:38 GMT 2023","15552","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateSite","Translate Site",""
"passed","Sat Apr 15 15:21:40 GMT 2023","Sat Apr 15 15:21:53 GMT 2023","12685","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Sat Apr 15 15:21:55 GMT 2023","Sat Apr 15 15:22:07 GMT 2023","12576","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"failed","Sat Apr 15 15:21:13 GMT 2023","Sat Apr 15 15:21:21 GMT 2023","8324","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateImage","Translate from Image",""
"passed","Sat Apr 15 15:22:09 GMT 2023","Sat Apr 15 15:22:21 GMT 2023","12585","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Sat Apr 15 15:22:23 GMT 2023","Sat Apr 15 15:22:36 GMT 2023","12736","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
