"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Apr 14 13:16:00 GMT 2023","Fri Apr 14 13:16:08 GMT 2023","8141","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateImage","Translate from Image",""
"broken","Fri Apr 14 13:16:26 GMT 2023","Fri Apr 14 13:16:38 GMT 2023","12679","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"broken","Fri Apr 14 13:16:40 GMT 2023","Fri Apr 14 13:16:52 GMT 2023","12699","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"broken","Fri Apr 14 13:15:44 GMT 2023","Fri Apr 14 13:15:58 GMT 2023","13474","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testChegg","testChegg",""
"passed","Fri Apr 14 13:16:09 GMT 2023","Fri Apr 14 13:16:24 GMT 2023","14847","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateSite","Translate Site",""
"passed","Fri Apr 14 13:15:59 GMT 2023","Fri Apr 14 13:15:59 GMT 2023","3","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testName","Translate typed Text",""
"broken","Fri Apr 14 13:16:53 GMT 2023","Fri Apr 14 13:17:05 GMT 2023","11762","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"broken","Fri Apr 14 13:17:06 GMT 2023","Fri Apr 14 13:17:19 GMT 2023","12758","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
