"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Apr 14 18:15:47 GMT 2023","Fri Apr 14 18:15:55 GMT 2023","8653","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateImage","Translate from Image",""
"passed","Fri Apr 14 18:16:57 GMT 2023","Fri Apr 14 18:17:09 GMT 2023","12726","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Fri Apr 14 18:15:18 GMT 2023","Fri Apr 14 18:15:45 GMT 2023","26937","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testHandwrite","Translate handwritten text",""
"passed","Fri Apr 14 18:16:42 GMT 2023","Fri Apr 14 18:16:55 GMT 2023","12737","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Fri Apr 14 18:15:57 GMT 2023","Fri Apr 14 18:16:12 GMT 2023","15811","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateSite","Translate Site",""
"passed","Fri Apr 14 18:16:14 GMT 2023","Fri Apr 14 18:16:27 GMT 2023","12817","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Fri Apr 14 18:16:28 GMT 2023","Fri Apr 14 18:16:41 GMT 2023","12692","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
