"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Apr 15 09:53:16 GMT 2023","Sat Apr 15 09:53:16 GMT 2023","0","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"skipped","Sat Apr 15 09:53:16 GMT 2023","Sat Apr 15 09:53:16 GMT 2023","2","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateSite","Translate Site",""
"broken","Sat Apr 15 09:53:16 GMT 2023","Sat Apr 15 09:53:16 GMT 2023","3","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","setUp","setUp",""
"skipped","Sat Apr 15 09:53:16 GMT 2023","Sat Apr 15 09:53:16 GMT 2023","1","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateImage","Translate from Image",""
"skipped","Sat Apr 15 09:53:16 GMT 2023","Sat Apr 15 09:53:16 GMT 2023","1","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testHandwrite","Translate handwritten text",""
