"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 19:04:06 GMT 2023","Fri Apr 14 19:04:33 GMT 2023","27579","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testHandwrite","Translate handwritten text",""
"passed","Fri Apr 14 19:05:46 GMT 2023","Fri Apr 14 19:05:59 GMT 2023","12922","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Fri Apr 14 19:05:32 GMT 2023","Fri Apr 14 19:05:45 GMT 2023","12817","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Fri Apr 14 19:05:18 GMT 2023","Fri Apr 14 19:05:31 GMT 2023","12774","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"failed","Fri Apr 14 19:04:35 GMT 2023","Fri Apr 14 19:04:44 GMT 2023","8810","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateImage","Translate from Image",""
"passed","Fri Apr 14 19:04:46 GMT 2023","Fri Apr 14 19:05:02 GMT 2023","15863","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateSite","Translate Site",""
"passed","Fri Apr 14 19:05:03 GMT 2023","Fri Apr 14 19:05:16 GMT 2023","12958","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
