"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 15:16:09 GMT 2023","Sat Apr 15 15:16:25 GMT 2023","15793","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateSite","Translate Site",""
"passed","Sat Apr 15 15:17:12 GMT 2023","Sat Apr 15 15:17:25 GMT 2023","12859","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Sat Apr 15 15:16:57 GMT 2023","Sat Apr 15 15:17:10 GMT 2023","12860","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"failed","Sat Apr 15 15:15:58 GMT 2023","Sat Apr 15 15:16:07 GMT 2023","8617","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateImage","Translate from Image",""
"passed","Sat Apr 15 15:15:28 GMT 2023","Sat Apr 15 15:15:56 GMT 2023","27802","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testHandwrite","Translate handwritten text",""
"broken","Sat Apr 15 15:16:27 GMT 2023","Sat Apr 15 15:16:41 GMT 2023","13659","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Sat Apr 15 15:16:43 GMT 2023","Sat Apr 15 15:16:55 GMT 2023","12765","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
