"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 13:01:36 GMT 2023","Fri Apr 14 13:01:52 GMT 2023","15494","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateSite","Translate Site",""
"failed","Fri Apr 14 13:01:12 GMT 2023","Fri Apr 14 13:01:24 GMT 2023","12542","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testChegg","testChegg",""
"failed","Fri Apr 14 13:01:27 GMT 2023","Fri Apr 14 13:01:35 GMT 2023","8192","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateImage","Translate from Image",""
"failed","Fri Apr 14 13:02:31 GMT 2023","Fri Apr 14 13:02:41 GMT 2023","10694","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Fri Apr 14 13:01:53 GMT 2023","Fri Apr 14 13:02:05 GMT 2023","11461","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"failed","Fri Apr 14 13:02:18 GMT 2023","Fri Apr 14 13:02:30 GMT 2023","11350","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"failed","Fri Apr 14 13:02:06 GMT 2023","Fri Apr 14 13:02:17 GMT 2023","11278","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Fri Apr 14 13:01:26 GMT 2023","Fri Apr 14 13:01:26 GMT 2023","1","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testName","Translate typed Text",""
