"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 18:39:57 GMT 2023","Fri Apr 14 18:40:10 GMT 2023","12911","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Fri Apr 14 18:39:43 GMT 2023","Fri Apr 14 18:39:55 GMT 2023","12724","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Fri Apr 14 18:39:28 GMT 2023","Fri Apr 14 18:39:41 GMT 2023","12790","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Fri Apr 14 18:39:14 GMT 2023","Fri Apr 14 18:39:27 GMT 2023","12956","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Fri Apr 14 18:38:57 GMT 2023","Fri Apr 14 18:39:12 GMT 2023","15730","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateSite","Translate Site",""
"passed","Fri Apr 14 18:38:18 GMT 2023","Fri Apr 14 18:38:45 GMT 2023","27031","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testHandwrite","Translate handwritten text",""
"failed","Fri Apr 14 18:38:47 GMT 2023","Fri Apr 14 18:38:55 GMT 2023","8503","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateImage","Translate from Image",""
