"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Apr 15 13:12:02 GMT 2023","Sat Apr 15 13:12:10 GMT 2023","8580","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateImage","Translate from Image",""
"passed","Sat Apr 15 13:12:12 GMT 2023","Sat Apr 15 13:12:28 GMT 2023","15775","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateSite","Translate Site",""
"passed","Sat Apr 15 13:12:45 GMT 2023","Sat Apr 15 13:12:57 GMT 2023","12644","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Sat Apr 15 13:13:13 GMT 2023","Sat Apr 15 13:13:26 GMT 2023","12828","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Sat Apr 15 13:12:59 GMT 2023","Sat Apr 15 13:13:12 GMT 2023","12811","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Sat Apr 15 13:11:33 GMT 2023","Sat Apr 15 13:12:00 GMT 2023","26754","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testHandwrite","Translate handwritten text",""
"passed","Sat Apr 15 13:12:30 GMT 2023","Sat Apr 15 13:12:43 GMT 2023","12840","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
