"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 15 14:05:24 GMT 2023","Sat Apr 15 14:05:36 GMT 2023","12770","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Sat Apr 15 14:04:29 GMT 2023","Sat Apr 15 14:04:54 GMT 2023","25466","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testHandwrite","Translate handwritten text",""
"passed","Sat Apr 15 14:06:06 GMT 2023","Sat Apr 15 14:06:18 GMT 2023","11919","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Sat Apr 15 14:05:52 GMT 2023","Sat Apr 15 14:06:04 GMT 2023","12586","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Sat Apr 15 14:05:06 GMT 2023","Sat Apr 15 14:05:22 GMT 2023","15546","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateSite","Translate Site",""
"passed","Sat Apr 15 14:05:38 GMT 2023","Sat Apr 15 14:05:50 GMT 2023","11862","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"failed","Sat Apr 15 14:04:56 GMT 2023","Sat Apr 15 14:05:04 GMT 2023","8179","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateImage","Translate from Image",""
