"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 14 17:58:05 GMT 2023","Fri Apr 14 17:58:17 GMT 2023","11969","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Fri Apr 14 17:56:29 GMT 2023","Fri Apr 14 17:56:55 GMT 2023","25878","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testHandwrite","Translate handwritten text",""
"passed","Fri Apr 14 17:57:23 GMT 2023","Fri Apr 14 17:57:36 GMT 2023","12738","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Fri Apr 14 17:57:51 GMT 2023","Fri Apr 14 17:58:03 GMT 2023","12532","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"passed","Fri Apr 14 17:57:06 GMT 2023","Fri Apr 14 17:57:22 GMT 2023","15495","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateSite","Translate Site",""
"passed","Fri Apr 14 17:57:37 GMT 2023","Fri Apr 14 17:57:50 GMT 2023","12552","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateText","testTranslateText",""
"failed","Fri Apr 14 17:56:56 GMT 2023","Fri Apr 14 17:57:04 GMT 2023","8192","Surefire suite","Surefire test","com.chegg.web.tests.GoogleTranslateTest","com.chegg.web.tests.GoogleTranslateTest","testTranslateImage","Translate from Image",""
